__table__,Outlet ID,Outlet Name,KA Manager,Employee ID,Segment,Is Active,Has Fridge,Has Draught,Draught Installed,__empty__,Date,SKU,Sales Unit,Actual Volume,Category,Raw Actual Volume,Crate Equivalent Factor,Target Date,Target Month,Full Month Target,Raw Full Month Target,Target Crate Equivalent Factor,Source Employee ID,Target Owner Mapping,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Is Working Day,KPI,Weight,Included Final,Key,Value
outlets,1006646,Adea Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1018918,Crown Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024449,East African Hotel,Chandra,295,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011506,Mena Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1130897,South Gate Hotel,Chandra,295,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1216340,Veronica Hotel,Chandra,295,Hotel,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1010395,Wato Hotel,Chandra,295,Hotel,True,False,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1049670,Empire Addis  Hotel,Netsanet,215,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1213545,70 Dereja,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1013652,Addisiniya Hotel,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001697,Airport Motel,Alemayehu,3359,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1008615,Atlas  International Hotel,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1215088,Best Western Plus Pearl Addis,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000482,Capital Hotel and Spa,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2879434,Doubel Tree by hilton,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1058189,Foyat Hotel,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1012499,Getfam Hotel,Alemayehu,3359,Hotel,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
