Date,Outlet ID,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Outlet Name,KA Manager,Segment
2026-06-04,2729788,0.0,1.0,0.0,,0.0,Romanat hotel,Netsanet,Unspecified
2026-06-04,2785966,1.0,1.0,1.0,1.0,1.0,zegeye butchery,Netsanet,Unspecified
2026-06-04,2841712,1.0,1.0,1.0,1.0,1.0,Yonase chercher,Netsanet,Unspecified
2026-06-04,2948842,1.0,1.0,1.0,1.0,1.0,Corner  Lounge,Netsanet,Unspecified
2026-06-04,2956808,1.0,1.0,1.0,1.0,1.0,,Unassigned,Unspecified
2026-06-05,1001385,1.0,0.0,0.0,0.0,,Betenda Kurt,Alemayehu,Unspecified
2026-06-05,1001387,1.0,0.0,0.0,0.0,,Beyene Lida Lounge,Alemayehu,Unspecified
2026-06-05,1001746,1.0,0.0,0.0,0.0,,Right Bar and Res,Netsanet,Unspecified
2026-06-05,1002031,1.0,0.0,0.0,0.0,,Bridge Hotel,Alemayehu,Unspecified
2026-06-05,1002694,1.0,0.0,0.0,0.0,,Sami Café and Restaurant,Chandra,Unspecified
2026-06-05,1003197,1.0,0.0,0.0,0.0,,Nega Bonger Hotel,Netsanet,Unspecified
2026-06-05,1003549,1.0,0.0,0.0,0.0,,Addis Ababa Golf club,Chandra,Unspecified
2026-06-05,1004409,1.0,0.0,0.0,0.0,,Megersa Batu,Netsanet,Unspecified
2026-06-05,1009121,1.0,1.0,1.0,1.0,1.0,Foyat Hotel,Netsanet,Unspecified
2026-06-05,1009339,1.0,1.0,1.0,1.0,1.0,Markon Hotel,Netsanet,Unspecified
2026-06-05,1009510,0.0,1.0,0.0,,0.0,Mera ado hotel,Netsanet,Unspecified
2026-06-05,1012278,1.0,0.0,0.0,0.0,,Kings Hotel,Chandra,Unspecified
2026-06-05,1013578,1.0,0.0,0.0,0.0,,Fkire kunspagna no 2,Alemayehu,Unspecified
2026-06-05,1016668,1.0,0.0,0.0,0.0,,Lafto Mall Restaurant,Chandra,Unspecified
2026-06-05,1091921,1.0,0.0,0.0,0.0,,Yohannes Kurt,Alemayehu,Unspecified
2026-06-05,1125112,1.0,0.0,0.0,0.0,,Ethiolink bar no2,Alemayehu,Unspecified
2026-06-05,1127272,1.0,0.0,0.0,0.0,,Adinew Bar and Res,Netsanet,Unspecified
2026-06-05,1130916,0.0,1.0,0.0,,0.0,Union by Lucy,Netsanet,Unspecified
